机场三字码,机场名称,机场英文名,机场简称,城市名称
PEK,首都国际机场,CAPITAL,首都,北京
PVG,浦东机场,PU DONG,浦东,上海
SHA,虹桥国际机场,HONGQIAO,虹桥,上海
TSN,滨海国际机场,TIANJIN,滨海,天津
CKG,江北国际机场,CHONGQING,江北,重庆
HRB,太平国际机场,HARBIN,太平,哈尔滨
DLC,周水子国际机场,DALIAN,周水子,大连
TAO,流亭国际机场,QINGDAO,流亭,青岛
XIY,咸阳国际机场,XIANYANG,咸阳,西安
DNH,敦煌机场,DUNHUANG,敦煌,敦煌
NKG,禄口国际机场,NANJING,禄口,南京
WUX,无锡苏南硕放国际机场,WUXI,苏南硕放,无锡
YTY,扬州泰州机场,YANGZHOU TAIZHOU AIR,扬泰机场,扬州
HGH,萧山国际机场,HANGZHOU,萧山,杭州
HSN,普陀山机场,ZHOUSHANPUTUOSHAN,普陀山,舟山
TXN,屯溪机场,TUNXI,屯溪,黄山
JIU,庐山机场,JIUJIANG,庐山,九江
XMN,高崎国际机场,XIAMEN,高崎,厦门
WUS,武夷山机场,FUJIAN PROVINCE,,武夷山
DYG,荷花机场,DAYONG,荷花,张家界
CTU,双流国际机场,CHENGDU,双流,成都
SZX,宝安国际机场,SHENZHEN,宝安,深圳
ZUH,三灶机场,ZHUHAI,三灶,珠海
CAN,新白云国际机场,BAIYUN,新白云,广州
KWL,两江国际机场,GUILIN,两江,桂林
KMG,巫家坝国际机场,KUNMING,巫家坝,昆明
JHG,西双版纳机场,XI SHUANG BAN NA,西双版纳,西双版纳
DLU,大理机场,DALI,,大理
LJG,丽江机场,LIJIANG,,丽江
KWE,龙洞堡国际机场,GUIYANG,龙洞堡,贵阳
URC,地窝堡国际机场,URUMQI,地窝堡,乌鲁木齐
LXA,贡嘎国际机场,LHASA,贡嘎,拉萨
HAK,美兰国际机场,HAIKOU,美兰,海口
SYX,凤凰国际机场,SANYA,凤凰,三亚
HKG,赤腊角国际机场,HONG KONG,赤腊角,中国香港
MFM,澳门机场,MACAU,澳门,中国澳门
TGG,瓜拉丁加奴机场,SULTAN MAHMOOD,瓜拉丁加奴,瓜拉丁加奴
SIN,樟宜机场,CHANGI,樟宜,新加坡
NTG,兴东机场,NANTONG,兴东,南通
JZH,黄龙机场,JIU ZHAI HUANG LONG,黄龙,九寨沟
RKZ,日喀则和平机场,RIKAZE,和平,日喀则
DIG,香格里拉机场,DI QING XIANG GE LI ,香格里拉 ,迪庆
NGQ,阿里昆莎机场,Alikunsha Airport,昆莎,阿里
INC,河东机场,YINCHUAN,河东,银川
LHW,中川机场,LANZHOU,中川,兰州
HET,白塔国际机场,HOHHOT,白塔,呼和浩特
TYN,武宿机场,TAIYUAN,武宿,太原
LZY,林芝米林机场,LINZHI,米林,林芝
KHG,喀什机场,KASHI,,喀什
ENY,二十里铺机场,YAN'AN,二十里铺,延安
XNN,曹家堡机场,XINING,曹家堡,西宁
HZG,西关机场,HANZHONG,西关,汉中
GOQ,格尔木机场,GOLMUD,,格尔木
DAT,大同机场,DATONG,,大同
CIH,长治机场,CHANGZHI,,长治
YCU,张孝机场,YUN CHENG,关公,运城
BAV,二里半机场,BAOTOU,二里半,包头
HLD,东山国际机场,HAILAR,东山,海拉尔
TNA,遥墙国际机场,JINAN,遥墙,济南
SHP,山海关机场,QINHUANGDAO,山海关,秦皇岛
NDG,三家子机场,QIQIHAR,三家子,齐齐哈尔
MDG,海浪机场,MUDANJIANG,海浪,牡丹江
OHE,漠河机场,MO HE,,漠河
JXA,兴凯湖机场,JIXI,兴凯湖,鸡西
CGQ,龙嘉国际机场,CHANGCHUN,龙嘉,长春
JIL,二台子机场,JILIN,二台子,吉林
KRY,克拉玛依机场,KARAMAY,,克拉玛依
OVB,新西伯利亚机场,TOLMACHEVO,新西伯利亚,新西伯利亚
AKA,五里铺机场,ANKANG,五里铺,安康
AKU,阿克苏机场,AKSU,,阿克苏
ALA,阿拉木图机场,ALMATY,阿拉木图,阿拉木图
AAT,阿勒泰机场,ALTAY,,阿勒泰
AMS,阿姆斯特丹机场,AMSTERDAM-SCHIPHOL,斯特普霍尔,阿姆斯特丹
AQG,天柱山机场,ANQING,天柱山,安庆
AOG,腾鳌机场,ANSHAN,腾鳌,鞍山
AVA,黄果树机场,AN SHUN/HUANG GUO SH,黄果树,安顺
BHY,福城机场,BEIHAI,福城,北海
CDG,巴黎戴高乐机场,CHARLES DE GAULLE,巴黎戴高乐,巴黎
ORY,巴黎奥利机场,ORLY FIELD,巴黎奥利,巴黎
SXF,肖尔内菲尔德机场,SCHOENEFELD,肖尔内菲尔德,柏林
BER,勃兰登堡国际机场,Berlin Brandenburg A,勃兰登堡机场,柏林
TXL,泰格尔机场,TEGEL,泰格尔,柏林
BAH,巴林机场,BAHRAIN,巴林,巴林
BRU,布鲁塞尔机场,NATIONAL,布鲁塞尔,布鲁塞尔
ZYR,米迪火车站,MIDI RAILWAY STATION,,布鲁塞尔
BSD,保山机场,BAOSHAN,,保山
NBS,长白山机场,CHANG BAI SHAN,,白山
CGD,桃花源机场,CHANGDE,桃花源,常德
CIF,玉龙机场,CHIFENG,玉龙,赤峰
NGS,长崎机场,NAGASAKI,长崎,长崎
CSX,黄花国际机场,CHANGSHA,黄花,长沙
OKA,冲绳机场,NAHA,那霸,冲绳
CHG,朝阳机场,CHAOYANG,,朝阳
CZX,奔牛国际机场,CHANGZHOU,奔牛,常州
ITM,伊丹机场,ITAMI,伊丹,大阪
KIX,关西国际机场,KANSAI,关西,大阪
DXB,迪拜机场,DUBAI,迪拜,迪拜
XNB,迪拜市中心切尔希大厦,DUBAI EY BUS STATION,迪拜市中心切尔希大厦,迪拜
DDG,浪头机场,DANDONG,浪头,丹东
HND,羽田机场,HANEDA,羽田,东京
NRT,成田机场,NARITA,成田,东京
DEL,德里机场,INDIRA GANDHI,德里,德里
DQA,萨尔图机场　,SAERTU,萨尔图,大庆
DTW,底特律机场,WAYNE COUNTY,底特律,底特律
DET,底特律市机场 ,DETROIT CITY AIRPORT,底特律市,底特律
DAX,达县机场,DAZHOU,达县,达州
DOY,胜利机场,DONGYING,永安,东营
ENH,许家坪机场,ENSHI,许家坪,恩施
FUK,福冈机场,FUKUOKA,福冈,福冈
FRA,法兰克福机场,FRANKFURT,法兰克福,法兰克福
FUO,沙堤机场,FUOSHAN,沙堤,佛山
PUS,釜山机场,GIMHAE,釜山,釜山
FUG,西关机场,FUYANG,西关,阜阳
FOC,长乐国际机场,FUZHOU,长乐,福州
CPH,哥本哈根机场,COPENHAGEN,卡斯特鲁普,哥本哈根
HIJ,广岛机场,HIROSHIMA,广岛,广岛
OKJ,冈山机场,OKAYAMA,冈山,冈山
GYS,盘龙机场,GUANG YUAN,盘龙,广元
KOW,黄金机场,GANZHOU,黄金,赣州
KHV,哈巴罗夫斯克机场,NOVYY,哈..机场,哈巴罗夫斯克
SEL,金浦国际机场,METROPOLITAN AREA,金浦,首尔
GMP,金浦国际机场,GIMPO,金浦,首尔
ICN,仁川国际机场,INCHEON,仁川,首尔
HDG,邯郸机场,HANDAN,,邯郸
HEL,赫尔辛基机场,HELSINKI-VANTAA,赫尔辛基,赫尔辛基
HFE,骆岗国际机场,HEFEI,骆岗,合肥
HEK,黑河机场,HEIHE,,黑河
HJJ,芷江机场,ZHIJIANG,芷江,怀化
HMI,哈密机场,HAMI,,哈密
HAN,河内机场,NOIBAI,河内,河内
WAW,华沙机场,FREDERIC CHOPIN,华沙,华沙
HTN,和田机场,HOTAN,,和田
SGN,胡志明市机场,HO CHI MINH CITY,胡志明市,胡志明市
PNH,金边机场,POCHENTONG,金边,金边
KTM, 特里布胡凡机场 ,TRIBHUVAN,加德满都,加德满都
JDZ,景德镇机场,JINGDEZHEN,,景德镇
IEV,基辅机场,KIEV-ZHULHANY,基辅,基辅
KBP,基辅BORISPOL机场,KIEV-BORISPOL,鲍里斯波尔,基辅
JGS,井冈山机场,JI AN/JING GANG SHAN,,井冈山
SFO,旧金山机场,SAN FRANCISCO,旧金山,旧金山
KUL,吉隆坡国际机场,KUALA LUMPUR,吉隆坡,吉隆坡
SZB,吉隆坡梳邦机场,SULTAN ABDUL AZIZ SH,吉隆坡,吉隆坡
JMU,东郊机场,JIAMUSI,东郊,佳木斯
JNG,曲阜机场,JINING,曲阜,济宁
GYU,六盘山机场,LIU PAN SHAN,六盘山,固原
JGN,嘉峪关机场,JIAYUGUAN,,嘉峪关
JNZ,小岭子机场,LIAONING PROVINCE,小岭子,锦州
KCA,库车机场,KUQA,,库车
KRL,库尔勒机场,KORLA,,库尔勒
CAI,开罗机场,CAIRO,开罗,开罗
KHI,卡拉奇机场,QUAID-E-AZAM,卡拉奇,卡拉奇
KWI,科威特机场,KUWAIT,科威特,科威特
LHR,西斯罗机场,HEATHROW,西斯罗,伦敦
LGW,盖特维克机场,GATWICK,盖特维克,伦敦
LCY,伦敦城机场,LONDON CITY,伦敦城,伦敦
STN,伦敦斯坦德机场,STANSTED,伦敦斯坦德,伦敦
CIA,罗马机场,CIAMPINO,西阿姆皮诺,罗马
